trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
104,False,"{'a': 0.5, 'e': 0.20766723081839245}",25,13,-28.185757663883006,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
105,False,"{'a': 0.5, 'e': 0.20455222235611656}",20,8,-1.5684296128808264,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
106,False,"{'a': 0.5, 'e': 0.2014839390207748}",25,0,25.079752324233944,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
107,False,"{'a': 0.5, 'e': 0.19846167993546318}",25,0,-3.14757525774588,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
108,False,"{'a': 0.5, 'e': 0.19548475473643123}",20,0,19.796014992387715,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
109,False,"{'a': 0.5, 'e': 0.19255248341538475}",20,10,6.189836988882286,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
110,False,"{'a': 0.5, 'e': 0.18966419616415398}",30,21,-4.11592059134148,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
111,False,"{'a': 0.5, 'e': 0.18681923322169167}",25,2,-8.46603072778912,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 1}",1
112,False,"{'a': 0.5, 'e': 0.1840169447233663}",20,0,-14.606795913266915,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
113,False,"{'a': 0.5, 'e': 0.1812566905525158}",25,0,-41.65914333051319,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
114,False,"{'a': 0.5, 'e': 0.17853784019422805}",20,3,29.72964913184896,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.5, 'e': 0.17585977259131463}",20,0,30.17019195176675,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
116,False,"{'a': 0.5, 'e': 0.1732218760024449}",35,10,9.886813234766908,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",1
117,False,"{'a': 0.5, 'e': 0.17062354786240824}",20,0,-3.647430936490254,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
118,False,"{'a': 0.5, 'e': 0.16806419464447211}",20,0,-15.831950584541127,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
119,False,"{'a': 0.5, 'e': 0.16554323172480503}",20,0,19.433000017594996,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
120,False,"{'a': 0.5, 'e': 0.16306008324893295}",20,12,13.592839714227129,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.5, 'e': 0.16061418200019895}",20,9,15.720312497959046,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.5, 'e': 0.15820496927019598}",20,10,4.9414073999105685,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
123,False,"{'a': 0.5, 'e': 0.15583189473114303}",20,3,-0.2480868408652055,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
124,False,"{'a': 0.5, 'e': 0.15349441631017588}",30,18,-1.1047642103417108,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
125,False,"{'a': 0.5, 'e': 0.15119200006552325}",30,0,19.504250210239647,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
126,False,"{'a': 0.5, 'e': 0.1489241200645404}",25,9,30.804695914532832,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.5, 'e': 0.1466902582635723}",20,0,-49.246968591800524,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
128,False,"{'a': 0.5, 'e': 0.1444899043896187}",20,9,-3.819635207670588,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
129,False,"{'a': 0.5, 'e': 0.1423225558237744}",30,11,36.363516245987974,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.5, 'e': 0.14018771748641778}",20,0,27.591918990864887,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
131,False,"{'a': 0.5, 'e': 0.13808490172412152}",25,0,35.79858430966265,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
132,False,"{'a': 0.5, 'e': 0.1360136281982597}",25,0,22.98601007710457,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
133,False,"{'a': 0.5, 'e': 0.13397342377528582}",25,0,23.9769146402235,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
